,Sample ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33
aminocoumarin resistance gene,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
aminoglycoside resistance gene,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"aminoglycoside resistance gene,antibiotic inactivation enzyme",3,1,1,3,1,1,1,1,3,3,3,1,3,1,3,3,0,1,3,1,1,1,1,3,1,1,1,1,1,1,3,1,3
antibiotic activation enzyme,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
antibiotic inactivation enzyme,4,2,1,6,1,1,1,1,5,6,5,1,6,1,6,6,0,1,5,2,2,1,1,5,3,1,1,1,1,1,6,1,5
"antibiotic inactivation enzyme,beta-lactam resistance gene",1,0,0,2,0,0,0,0,1,2,1,0,2,0,2,2,0,0,1,1,1,0,0,1,1,0,0,0,0,0,2,0,1
"antibiotic inactivation enzyme,chloramphenicol resistance gene",0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"antibiotic resistance gene cluster,cassette,or operon",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"antibiotic resistant gene variant or mutant,beta-lactam resistance gene,gene modulating permeability to antibiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"antibiotic resistant gene variant or mutant,efflux pump conferring antibiotic resistance,gene altering cell wall charge conferring antibiotic resistance,gene modulating antibiotic efflux,polymyxin resistance gene",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"antibiotic resistant gene variant or mutant,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,0,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5
"antibiotic resistant gene variant or mutant,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux,gene modulating permeability to antibiotic",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"antibiotic resistant gene variant or mutant,fosfomycin resistance gene",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"antibiotic resistant gene variant or mutant,nitrofuratoin resistance gene",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"antibiotic resistant gene variant or mutant,rifampin resistance gene",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"antibiotic resistant gene variant or mutant,sulfonamide resistance gene",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
antibiotic target in susceptible species,26,24,24,21,24,21,24,24,25,24,24,25,24,21,24,24,3,24,24,24,24,24,25,22,23,24,24,24,25,20,21,24,21
antibiotic target protection protein,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"antibiotic target protection protein,fluoroquinolone resistance gene",1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"antibiotic target replacement protein,sulfonamide resistance gene",0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"antibiotic target replacement protein,trimethoprim resistance gene",1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
Classification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0
Drug efflux system,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
efflux pump conferring antibiotic resistance,42,43,43,43,42,42,43,42,43,43,46,42,43,42,43,43,4,42,46,42,42,42,43,43,43,42,42,42,38,42,43,42,45
"efflux pump conferring antibiotic resistance,gene altering cell wall charge conferring antibiotic resistance,gene conferring resistance via absence,gene modulating antibiotic efflux,polymyxin resistance gene",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8
"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux,gene modulating permeability to antibiotic",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"gene altering cell wall charge conferring antibiotic resistance,polymyxin resistance gene",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"gene conferring antibiotic resistance via molecular bypass,peptide antibiotic resistance gene",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene conferring resistance via absence,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"gene modulating antibiotic efflux,sulfonamide resistance gene",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Intracellular survival and replication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Invasion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Invasion,Adhesion,Biofilm,Cell motility",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Invasion,Type III secretion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron uptake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS (Lipopolysaccharide),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
protein altering cell wall charge conferring antibiotic resistance,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
regulator modulating expression of antibiotic resistance genes,5,4,4,5,4,4,4,4,4,5,5,4,5,4,5,5,0,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,5
"Secretion system,Type III secretion system",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secretion system,Type III secretion system,Invasion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Type III secretion,Virulence associated secretion systems",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virulence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virulence,Invasion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virulence,Regulation of gene expression,Intracellular survival and replication",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virulence,Secretion system effectors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virulence,Type III secretion,Secretion system effectors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virulence,Zinc uptake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
