,Classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene,aminocoumarin resistance gene,aminoglycoside resistance gene,"aminoglycoside resistance gene,antibiotic inactivation enzyme",antibiotic activation enzyme,antibiotic inactivation enzyme,"antibiotic inactivation enzyme,beta-lactam resistance gene","antibiotic inactivation enzyme,chloramphenicol resistance gene","antibiotic resistance gene cluster,cassette,or operon","antibiotic resistant gene variant or mutant,beta-lactam resistance gene,gene modulating permeability to antibiotic","antibiotic resistant gene variant or mutant,efflux pump conferring antibiotic resistance,gene altering cell wall charge conferring antibiotic resistance,gene modulating antibiotic efflux,polymyxin resistance gene","antibiotic resistant gene variant or mutant,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux","antibiotic resistant gene variant or mutant,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux,gene modulating permeability to antibiotic","antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene","antibiotic resistant gene variant or mutant,fosfomycin resistance gene","antibiotic resistant gene variant or mutant,nitrofuratoin resistance gene","antibiotic resistant gene variant or mutant,rifampin resistance gene","antibiotic resistant gene variant or mutant,sulfonamide resistance gene",antibiotic target in susceptible species,antibiotic target protection protein,"antibiotic target protection protein,fluoroquinolone resistance gene","antibiotic target replacement protein,sulfonamide resistance gene","antibiotic target replacement protein,trimethoprim resistance gene",Drug efflux system,Drug target,efflux pump conferring antibiotic resistance,"efflux pump conferring antibiotic resistance,gene altering cell wall charge conferring antibiotic resistance,gene conferring resistance via absence,gene modulating antibiotic efflux,polymyxin resistance gene","efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux","efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux,gene modulating permeability to antibiotic","gene altering cell wall charge conferring antibiotic resistance,polymyxin resistance gene","gene conferring antibiotic resistance via molecular bypass,peptide antibiotic resistance gene",gene conferring resistance via absence,"gene modulating antibiotic efflux,sulfonamide resistance gene",Intracellular survival and replication,Invasion,"Invasion,Adhesion,Biofilm,Cell motility","Invasion,Type III secretion",Iron uptake,LPS (Lipopolysaccharide),protein altering cell wall charge conferring antibiotic resistance,regulator modulating expression of antibiotic resistance genes,"Secretion system,Type III secretion system","Secretion system,Type III secretion system,Invasion","Type III secretion,Virulence associated secretion systems",Virulence,"Virulence,Invasion","Virulence,Regulation of gene expression,Intracellular survival and replication","Virulence,Secretion system effectors","Virulence,Type III secretion,Secretion system effectors","Virulence,Zinc uptake"
"AAC(6')-Ic,f,g,h,j,k,l,r-z",0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(6')-Iy,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acrA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AcrAB-TolC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
AcrAD-TolC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acrB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acrD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acrE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AcrEF-TolC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
