Superclass,Class,Subclass,Subsystem Name,Gene Count,Role Count,Active
"STRESS RESPONSE, DEFENSE, VIRULENCE","Stress Response, Defense and Virulence","Resistance to antibiotics and toxic compounds","Bicyclomycin resistance cluster",2,2,"active"
"DNA PROCESSING","DNA Processing","DNA repair","DNA repair, bacterial",25,20,"active"
"ENERGY","Energy and Precursor Metabolites Generation","Central Metabolism","Pyruvate Alanine Serine Interconversions",13,10,"active"
"METABOLISM","Carbohydrates","Di- and oligosaccharides","Galactose utilization",10,9,"active"
"PROTEIN PROCESSING","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Met",1,1,"active"
"CELL ENVELOPE","Cell Envelope, Capsule and Slime layer","Capsule and Slime layer","Colanic acid synthesis",24,22,"active"
"METABOLISM","Metabolite damage and its repair or mitigation","","Nudix proteins (nucleoside triphosphate hydrolases)",9,9,"active"
"CELL ENVELOPE","Cell Envelope, Capsule and Slime layer","Capsule and Slime layer","dTDP-rhamnose synthesis -- gjo",7,5,"active"
"METABOLISM","Amino Acids and Derivatives","Histidine Metabolism","Histidine Biosynthesis -- gjo",9,11,"active"
"METABOLISM","Sulfur Metabolism","","Polysulfide reductase EC 1.12.98.4 and Thiosulfate reductase",3,5,"active"
"METABOLISM","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles","Cobalamin synthesis",22,21,"active"
"METABOLISM","Carbohydrates","Sugar alcohols","Propanediol utilization",25,26,"active"
"METABOLISM","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles","Heme Biosynthesis: protoporphyrin-, coproporphyrin- and siroheme-dependent pathways",14,15,"active"
"METABOLISM","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles","Cobalamin synthesis from Cob(II)yrinate a,c diamide",10,10,"active"
"CELLULAR PROCESSES","Motility and Chemotaxis","Flagellum","Flagellum",44,44,"likely"
"REGULATION AND CELL SIGNALING","Regulation and Cell signaling","Two-component regulatory systems","BarA-UvrY(SirA) two-component regulatory system",6,6,"active"
"CELLULAR PROCESSES","Motility and Chemotaxis","","Chemotaxis in Escherichia coli and Bacillus subtilis",7,7,"active"
"METABOLISM","Carbohydrates","Monosaccharides","D-Galacturonate and D-Glucuronate Utilization",20,16,"likely"
"RNA PROCESSING","RNA Processing","RNA processing and modification","tRNA modification, 5-oxyacetyl uridine (cmo5U34)",2,2,"active"
"MEMBRANE TRANSPORT","Membrane Transport","Cation transporters","Copper uptake system CopCD",2,2,"active"
"PROTEIN PROCESSING","Protein Fate (folding, modification, targeting, degradation)","Protein folding","Periplasmic disulfide interchange",8,8,"likely"
"METABOLISM","Fatty Acids, Lipids, and Isoprenoids","Isoprenoids","Nonmevalonate Branch of Isoprenoid Biosynthesis",7,7,"active"
"ENERGY","Energy and Precursor Metabolites Generation","Fermentation","Acetolactate synthase subunits",6,2,"active"
"METABOLISM","Carbohydrates","Monosaccharides","Hexose phosphate transport system",4,4,"active"
"REGULATION AND CELL SIGNALING","Regulation and Cell signaling","","Stringent Response, (p)ppGpp metabolism",4,6,"active"
"DNA PROCESSING","DNA Processing","DNA repair","DNA Repair Base Excision",13,11,"active"
"CELLULAR PROCESSES","Cell Cycle, Cell Division and Death","","Cell division related cluster including coaD",7,7,"active"
"CELL ENVELOPE","Cell Envelope, Capsule and Slime layer","Gram-Negative (Diderm) cell wall components","Lipopolysaccharide in K12",15,15,"likely"
"METABOLISM","Cofactors, Vitamins, Prosthetic Groups","Biotin","Biotin synthesis cluster",10,10,"active"
"ENERGY","Energy and Precursor Metabolites Generation","Central Metabolism","Methylglyoxal Metabolism",5,5,"likely"
"PROTEIN PROCESSING","Protein Synthesis","Aminoacyl-tRNA-synthetases","Glycyl-tRNA synthetase",2,2,"active"
"ENERGY","Energy and Precursor Metabolites Generation","Central Metabolism","Entner-Doudoroff Pathway",17,14,"active"
"CELLULAR PROCESSES","Cell Cycle, Cell Division and Death","","FtsEX cell-division-associated signaling system",6,6,"active"
"METABOLISM","Carbohydrates","Monosaccharides","D-gluconate and ketogluconates metabolism",12,11,"active"
