Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.566,0,0,CDJ73208,Escherichia coli,uhpT,UhpT transport protein,,fosfomycin resistance gene,0,99,99,95,1.00E-258
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4973,0,0,ABK33456.1,Pseudomonas aeruginosa,aph(3'')-Ib,APH(3'')-I phosphotransferase,,aminoglycoside resistance gene,0,100,100,99,1.00E-156
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.3361,0,0,0,unknown,oxyR,OxyR activator,OxyR activator,regulator modulating antibiotic resistance,25799046,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4767,0,0,AAA50993.1,Escherichia coli,0,Elongation factor Tu,,elfamycin resistance gene,0,13,100,100,5.00E-23
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4557,0,0,AAC76297.1,Escherichia coli,acrE,AcrE efflux pump component,,efflux pump conferring antibiotic resistance,0,34,96,88,2.00E-63
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.1290,0,0,NP_462096.1,Salmonella enterica,parE,DNA topoisomerase IV subunit B,,fluoroquinolone resistance gene,0,100,100,100,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4978,0,0,AAL02127.1,Escherichia coli,ctxM-15,CTX-M beta-lactamase,,beta-lactam resistance gene,0,100,100,100,1.00E-161
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.197,0,0,NP_460903.1,Salmonella enterica,sdiA,SdiA transcriptional activator,,efflux pump conferring antibiotic resistance,0,100,100,98,1.00E-137
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.912,0,0,BAE77933.1,Escherichia coli,crp,CRP,,efflux pump conferring antibiotic resistance,0,100,100,98,1.00E-115
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.39,0,0,0,unknown,alr,Alanine racemase,Alanine racemase,antibiotic target in susceptible species,19748470;24303782,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4938,0,0,0,unknown,qacE,QacE delta 1 efflux transporter,QacE efflux transporter,efflux pump conferring antibiotic resistance,0,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.1940,0,0,0,unknown,dfrA,Dihydrofolate reductase,Dihydrofolate reductase,antibiotic target in susceptible species,20169085;25288078,0,0,0,0
